Number of Networks,'19611'
Ip Address,Number of IPs,Number of Machines Probed
'34.128.0.0/16','65536','18'
'154.204.96.0/19','8192','3'
'142.92.0.0/16','65536','35'
'207.192.134.0/24','256','1'
'35.80.0.0/12','1048576','38'
'46.144.0.0/15','131072','1'
'156.246.176.0/20','4096','1'
'104.102.32.0/20','4096','1'
'52.62.0.0/15','131072','6'
'104.16.16.0/20','4096','1'
'104.85.0.0/22','1024','1'
'13.228.0.0/15','131072','11'
'193.243.150.0/23','512','1'
'213.246.192.0/18','16384','1'
'75.101.128.0/17','32768','4'
'154.87.0.0/16','65536','1'
'35.229.128.0/17','32768','2'
'212.40.0.0/19','8192','1'
'114.31.210.0/24','256','1'
'111.229.192.0/18','16384','1'
'116.202.0.0/16','65536','16'
'169.239.104.0/22','1024','1'
'74.208.0.0/16','65536','16'
'23.32.160.0/20','4096','1'
'135.125.128.0/17','32768','12'
'121.198.0.0/16','65536','48'
'172.86.80.0/20','4096','4'
'177.10.36.0/23','512','1'
'52.57.0.0/16','65536','11'
'103.121.90.0/23','512','1'
'104.253.250.0/24','256','1'
'45.223.139.0/24','256','1'
'200.34.224.0/19','8192','1'
'180.177.176.0/21','2048','1'
'54.216.0.0/15','131072','11'
'84.22.4.0/23','512','1'
'44.224.0.0/11','2097152','72'
'104.234.92.0/22','1024','2'
'154.214.160.0/21','2048','3'
'104.79.160.0/19','8192','2'
'23.65.48.0/20','4096','4'
'45.72.6.0/23','512','2'
'3.64.0.0/12','1048576','48'
'23.63.192.0/19','8192','6'
'38.54.224.0/19','8192','6'
'92.123.102.0/23','512','2'
'192.250.196.0/24','256','1'
'194.195.204.0/22','1024','1'
'216.238.96.0/19','8192','1'
'73.0.0.0/8','16777216','57'
'185.86.202.0/24','256','1'
'37.221.192.0/21','2048','2'
'3.224.0.0/12','1048576','84'
'83.247.0.0/17','32768','1'
'187.95.112.0/20','4096','2'
'34.160.0.0/16','65536','65'
'185.17.172.0/22','1024','1'
'20.192.0.0/10','4194304','85'
'137.44.0.0/16','65536','11'
'54.174.0.0/15','131072','13'
'75.109.192.0/19','8192','1'
'104.98.48.0/20','4096','3'
'190.203.192.0/19','8192','1'
'207.55.244.0/22','1024','3'
'18.232.0.0/14','262144','19'
'23.195.160.0/19','8192','8'
'91.90.224.0/19','8192','1'
'104.90.64.0/19','8192','6'
'104.84.240.0/20','4096','1'
'13.232.0.0/14','262144','26'
'102.164.192.0/19','8192','1'
'167.82.0.0/17','32768','20'
'152.92.0.0/16','65536','49'
'185.210.196.0/22','1024','1'
'20.48.0.0/12','1048576','27'
'104.160.5.0/24','256','1'
'193.85.0.0/16','65536','3'
'121.4.32.0/19','8192','3'
'104.117.72.0/22','1024','4'
'103.77.187.0/24','256','1'
'172.223.128.0/19','8192','1'
'23.210.128.0/19','8192','9'
'122.114.0.0/16','65536','12'
'34.192.0.0/12','1048576','94'
'35.202.96.0/20','4096','1'
'23.53.16.0/20','4096','3'
'104.101.32.0/20','4096','6'
'104.19.16.0/20','4096','1'
'3.108.0.0/14','262144','25'
'104.115.128.0/19','8192','5'
'136.0.128.0/17','32768','15'
'104.252.0.0/16','65536','26'
'103.159.7.0/24','256','1'
'107.186.0.0/15','131072','23'
'91.212.134.0/24','256','1'
'172.67.192.0/20','4096','3'
'101.37.128.0/17','32768','4'
'3.112.0.0/14','262144','19'
'185.36.205.0/24','256','1'
'79.55.0.0/16','65536','1'
'108.171.160.0/20','4096','1'
'163.16.0.0/13','524288','41'
'23.10.240.0/24','256','1'
'216.47.48.0/20','4096','1'
'203.23.49.0/24','256','1'
'47.91.96.0/20','4096','3'
'49.7.0.0/18','16384','3'
'37.72.192.0/19','8192','5'
'54.208.0.0/15','131072','12'
'52.24.0.0/14','262144','25'
'51.222.0.0/16','65536','13'
'220.135.128.0/18','16384','7'
'167.235.0.0/16','65536','6'
'46.101.0.0/18','16384','9'
'111.32.128.0/18','16384','3'
'148.255.0.0/16','65536','10'
'18.66.32.0/21','2048','2'
'180.222.72.0/21','2048','2'
'165.227.224.0/20','4096','2'
'163.191.32.0/19','8192','5'
'106.52.48.0/20','4096','1'
'175.27.32.0/21','2048','1'
'104.86.72.0/21','2048','1'
'202.87.221.0/24','256','1'
'5.102.192.0/19','8192','1'
'79.96.0.0/16','65536','47'
'1.53.16.0/20','4096','1'
'116.203.0.0/16','65536','19'
'202.61.159.0/24','256','2'
'156.254.32.0/19','8192','4'
'45.38.0.0/15','131072','42'
'197.55.64.0/19','8192','1'
'96.58.0.0/15','131072','1'
'118.232.128.0/21','2048','1'
'154.37.252.0/22','1024','1'
'58.27.0.0/18','16384','1'
'54.229.0.0/17','32768','5'
'154.212.168.0/21','2048','3'
'104.88.32.0/19','8192','7'
'137.175.0.0/17','32768','19'
'104.227.216.0/22','1024','2'
'59.44.0.0/14','262144','5'
'193.193.244.0/24','256','1'
'23.11.128.0/20','4096','4'
'34.208.0.0/12','1048576','62'
'52.200.0.0/13','524288','53'
'18.208.0.0/13','524288','41'
'154.23.16.0/20','4096','1'
'154.16.21.0/24','256','3'
'184.26.180.0/22','1024','2'
'156.250.96.0/20','4096','2'
'81.187.0.0/16','65536','1'
'78.192.0.0/11','2097152','8'
'122.51.0.0/18','16384','2'
'42.96.104.0/24','256','1'
'111.9.96.0/21','2048','1'
'45.32.16.0/21','2048','1'
'3.8.0.0/14','262144','29'
'13.33.72.0/22','1024','1'
'148.0.0.0/18','16384','2'
